YR,SEAS,TOTAL,ANOM
1950,DJF,24.97,-1.39
1950,JFM,25.37,-1.26
1950,FMA,25.88,-1.16
1950,MAM,26.21,-1.18
1950,AMJ,26.37,-1.1
1950,MJJ,26.38,-0.89
1950,JJA,26.31,-0.59
1950,JAS,26.06,-0.5
1950,ASO,25.91,-0.43
1950,SON,25.79,-0.46
1950,OND,25.69,-0.55
1950,NDJ,25.53,-0.72
1951,DJF,25.59,-0.77
1951,JFM,26.01,-0.62
1951,FMA,26.6,-0.44
1951,MAM,27.24,-0.16
1951,AMJ,27.48,0.01
1951,MJJ,27.63,0.36
1951,JJA,27.51,0.61
1951,JAS,27.52,0.95
1951,ASO,27.42,1.08
1951,SON,27.46,1.22
1951,OND,27.34,1.11
1951,NDJ,27.15,0.9
1952,DJF,26.93,0.57
1952,JFM,26.99,0.37
1952,FMA,27.34,0.29
1952,MAM,27.73,0.34
1952,AMJ,27.73,0.26
1952,MJJ,27.34,0.07
1952,JJA,26.83,-0.07
1952,JAS,26.57,0.01
1952,ASO,26.51,0.17
1952,SON,26.47,0.23
1952,OND,26.47,0.23
1952,NDJ,26.58,0.33
1953,DJF,26.86,0.5
1953,JFM,27.24,0.61
1953,FMA,27.68,0.64
1953,MAM,28.05,0.66
1953,AMJ,28.16,0.7
1953,MJJ,27.94,0.67
1953,JJA,27.56,0.66
1953,JAS,27.26,0.7
1953,ASO,27.09,0.76
1953,SON,27.04,0.79
1953,OND,26.99,0.76
1953,NDJ,27.0,0.75
1954,DJF,27.08,0.72
1954,JFM,27.15,0.52
1954,FMA,27.1,0.06
1954,MAM,27.04,-0.35
1954,AMJ,26.95,-0.52
1954,MJJ,26.78,-0.49
1954,JJA,26.33,-0.57
1954,JAS,25.82,-0.74
1954,ASO,25.53,-0.8
1954,SON,25.51,-0.73
1954,OND,25.51,-0.72
1954,NDJ,25.53,-0.72
1955,DJF,25.61,-0.74
1955,JFM,25.95,-0.68
1955,FMA,26.32,-0.72
1955,MAM,26.57,-0.82
1955,AMJ,26.63,-0.84
1955,MJJ,26.5,-0.76
1955,JJA,26.15,-0.75
1955,JAS,25.83,-0.73
1955,ASO,25.29,-1.05
1955,SON,24.85,-1.39
1955,OND,24.51,-1.73
1955,NDJ,24.72,-1.58
1956,DJF,25.3,-1.14
1956,JFM,25.98,-0.75
1956,FMA,26.54,-0.58
1956,MAM,26.95,-0.5
1956,AMJ,27.06,-0.46
1956,MJJ,26.86,-0.46
1956,JJA,26.42,-0.54
1956,JAS,26.05,-0.55
1956,ASO,25.88,-0.49
1956,SON,25.79,-0.49
1956,OND,25.73,-0.54
1956,NDJ,25.82,-0.5
1957,DJF,26.13,-0.31
1957,JFM,26.78,0.05
1957,FMA,27.52,0.4
1957,MAM,28.19,0.74
1957,AMJ,28.39,0.87
1957,MJJ,28.31,0.99
1957,JJA,28.03,1.08
1957,JAS,27.79,1.18
1957,ASO,27.58,1.21
1957,SON,27.6,1.32
1957,OND,27.78,1.51
1957,NDJ,28.07,1.76
1958,DJF,28.28,1.84
1958,JFM,28.37,1.63
1958,FMA,28.36,1.24
1958,MAM,28.34,0.89
1958,AMJ,28.24,0.72
1958,MJJ,27.95,0.63
1958,JJA,27.47,0.51
1958,JAS,26.95,0.34
1958,ASO,26.66,0.29
1958,SON,26.66,0.38
1958,OND,26.76,0.49
1958,NDJ,26.93,0.62
1959,DJF,27.05,0.61
1959,JFM,27.31,0.58
1959,FMA,27.58,0.46
1959,MAM,27.76,0.32
1959,AMJ,27.69,0.17
1959,MJJ,27.23,-0.09
1959,JJA,26.74,-0.22
1959,JAS,26.35,-0.26
1959,ASO,26.3,-0.07
1959,SON,26.3,0.02
1959,OND,26.39,0.12
1959,NDJ,26.33,0.02
1960,DJF,26.32,-0.13
1960,JFM,26.5,-0.23
1960,FMA,26.92,-0.2
1960,MAM,27.36,-0.08
1960,AMJ,27.45,-0.07
1960,MJJ,27.3,-0.02
1960,JJA,27.04,0.09
1960,JAS,26.83,0.22
1960,ASO,26.59,0.22
1960,SON,26.42,0.14
1960,OND,26.36,0.09
1960,NDJ,26.37,0.07
1961,DJF,26.46,0.04
1961,JFM,26.66,-0.03
1961,FMA,27.04,-0.03
1961,MAM,27.45,0.07
1961,AMJ,27.73,0.28
1961,MJJ,27.6,0.35
1961,JJA,27.12,0.22
1961,JAS,26.5,-0.09
1961,ASO,26.1,-0.27
1961,SON,26.03,-0.25
1961,OND,26.11,-0.15
1961,NDJ,26.17,-0.12
1962,DJF,26.2,-0.21
1962,JFM,26.4,-0.28
1962,FMA,26.77,-0.29
1962,MAM,27.09,-0.29
1962,AMJ,27.21,-0.24
1962,MJJ,27.11,-0.15
1962,JJA,26.87,-0.04
1962,JAS,26.5,-0.09
1962,ASO,26.21,-0.16
1962,SON,26.0,-0.28
1962,OND,25.89,-0.37
1962,NDJ,25.83,-0.46
1963,DJF,26.0,-0.41
1963,JFM,26.52,-0.17
1963,FMA,27.19,0.12
1963,MAM,27.63,0.25
1963,AMJ,27.75,0.3
1963,MJJ,27.76,0.5
1963,JJA,27.73,0.82
1963,JAS,27.65,1.07
1963,ASO,27.54,1.17
1963,SON,27.53,1.25
1963,OND,27.62,1.36
1963,NDJ,27.57,1.28
1964,DJF,27.46,1.05
1964,JFM,27.27,0.58
1964,FMA,27.15,0.08
1964,MAM,27.03,-0.35
1964,AMJ,26.88,-0.56
1964,MJJ,26.67,-0.59
1964,JJA,26.27,-0.64
1964,JAS,25.88,-0.71
1964,ASO,25.58,-0.79
1964,SON,25.47,-0.81
1964,OND,25.44,-0.81
1964,NDJ,25.53,-0.76
1965,DJF,25.86,-0.56
1965,JFM,26.43,-0.26
1965,FMA,27.04,-0.03
1965,MAM,27.6,0.22
1965,AMJ,27.96,0.51
1965,MJJ,28.09,0.83
1965,JJA,28.09,1.18
1965,JAS,28.03,1.45
1965,ASO,28.11,1.74
1965,SON,28.18,1.9
1965,OND,28.19,1.93
1965,NDJ,28.03,1.7
1966,DJF,27.82,1.35
1966,JFM,27.87,1.12
1966,FMA,28.04,0.93
1966,MAM,28.04,0.62
1966,AMJ,27.89,0.38
1966,MJJ,27.61,0.26
1966,JJA,27.28,0.25
1966,JAS,26.85,0.12
1966,ASO,26.51,-0.03
1966,SON,26.43,-0.07
1966,OND,26.34,-0.14
1966,NDJ,26.26,-0.21
1967,DJF,26.24,-0.28
